3_0; 3_1; 3_2; 3_3; 3_4; 3_5; 3_6; 3_7; 3_8; 3_9; 3_10; 3_11; 3_12
all ( [a-ɔː] [ll-l] ); member # mem-ber ˈmem.bə ( [m-m] [e-e] [m-m] [b-b] [er-ə] ) NULL; study # stu-dy ˈstʌ.di ( [s-s] [t-t] [u-ʌ] [d-d] [y-i] ) NULL; carry # car-ry ˈkæ.ri ( [c-k] [a-æ] [rr-r] [y-i] ) NULL; story # sto-ry ˈstɔː.ri ( [s-s] [t-t] [o-ɔː] [r-r] [y-i] ) NULL; bias # bi-as ˈbaɪ.əs ( [b-b] [i-aɪ] [a-ə] [s-s] ) NULL; Jewish # jew-ish ˈdʒuː.ɪʃ ( [j-dʒ] [ew-uː] [i-ɪ] [sh-ʃ] ) ish;  ;  ; item # i-tem ˈaɪ.təm ( [i-aɪ] [t-t] [e-ə] [m-m] ) NULL; manager # ma-na-ger ˈmæ.nɪ.dʒə ( [m-m] [a-æ] [n-n] [a-ɪ] [g-dʒ] [er-ə] ) NULL; participant # par-ti-ci-pant pɑː.ˈtɪ.sɪ.pənt ( [p-p] [ar-ɑː] [t-t] [i-ɪ] [c-s] [i-ɪ] [p-p] [a-ə] [n-n] [t-t] ) NULL; recommendation # rec-om-men-da-tion ˌrek.ə.men.ˈdeɪʃ.ən ( [r-r] [e-e] [c-k] [o-ə] [mm-m] [e-e] [n-n] [d-d] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
one ( [one-wʌn] ); almost # al-most ˈɔːl.məʊst ( [a-ɔː] [l-l] [m-m] [o-əʊ] [s-s] [t-t] ) NULL; water # wa-ter ˈwɔː.tə ( [w-w] [a-ɔː] [t-t] [er-ə] ) NULL; table # tab-le ˈteɪb.əl ( [t-t] [a-eɪ] [b-b] [le-əl] ) NULL; among # a-mong ə.ˈmʌŋ ( [a-ə] [m-m] [o-ʌ] [ng-ŋ] ) NULL; lion # li-on ˈlaɪ.ən ( [l-l] [i-aɪ] [o-ə] [n-n] ) NULL; weekend # week-end wiːk.ˈend ( [w-w] [ee-iː] [k-k] [e-e] [n-n] [d-d] ) NULL;  ;  ; tiny # ti-ny ˈtaɪ.ni ( [t-t] [i-aɪ] [n-n] [y-i] ) NULL; imagine # i-ma-gine ɪ.ˈmæ.dʒɪn ( [i-ɪ] [m-m] [a-æ] [g-dʒ] [i.e-ɪ] [n-n] ) NULL; reality # re-a-li-ty rɪ.ˈæ.lɪ.ti ( [r-r] [e-ɪ] [a-æ] [l-l] [i-ɪ] [t-t] [y-i] ) ity; ideology # i-de-o-lo-gy ˌaɪ.dɪ.ˈɒ.lə.dʒi ( [i-aɪ] [d-d] [e-ɪ] [o-ɒ] [l-l] [o-ə] [g-dʒ] [y-i] ) NULL
out ( [ou-aʊ] [t-t] ); follow # fol-low ˈfɒ.ləʊ ( [f-f] [o-ɒ] [ll-l] [o-əʊ] [w-] ) NULL; money # mo-ney ˈmʌ.ni ( [m-m] [o-ʌ] [n-n] [ey-i] ) NULL; order # or-der ˈɔː.də ( [or-ɔː] [d-d] [er-ə] ) NULL; later # la-ter ˈleɪ.tə ( [l-l] [a-eɪ] [t-t] [er-ə] ) NULL; riot # ri-ot ˈraɪ.ət ( [r-r] [i-aɪ] [o-ə] [t-t] ) NULL; British # brit-ish ˈbrɪt.ɪʃ ( [b-b] [r-r] [i-ɪ] [t-t] [i-ɪ] [sh-ʃ] ) ish;  ;  ; deny # de-ny dɪ.ˈnaɪ ( [d-d] [e-ɪ] [n-n] [y-aɪ] ) NULL; popular # po-pu-lar ˈpɒ.pjʊ.lə ( [p-p] [o-ɒ] [p-p] [u-jʊ] [l-l] [ar-ə] ) NULL; anybody # a-ny-bo-dy ˈe.ni.bɒ.di ( [a-e] [n-n] [y-i] [b-b] [o-ɒ] [d-d] [y-i] ) NULL; liability # li-a-bi-li-ty ˌlaɪ.ə.ˈbɪ.lɪ.ti ( [l-l] [i-aɪ] [a-ə] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility
him ( [h-h] [i-ɪ] [m-m] ); others # oth-ers ˈʌð.əz ( [o-ʌ] [th-ð] [er-ə] [s-z] ) NULL; story # sto-ry ˈstɔː.ri ( [s-s] [t-t] [o-ɔː] [r-r] [y-i] ) NULL; enter # en-ter ˈen.tə ( [e-e] [n-n] [t-t] [er-ə] ) NULL; maybe # may-be ˈmeɪ.biː ( [m-m] [ay-eɪ] [b-b] [e-iː] ) NULL; buyer # buy-er ˈbaɪ.ə ( [b-b] [uy-aɪ] [er-ə] ) NULL; growing # grow-ing ˈgrəʊ.ɪŋ ( [g-g] [r-r] [ow-əʊ] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; lady # la-dy ˈleɪ.di ( [l-l] [a-eɪ] [d-d] [y-i] ) NULL; evening # ev-en-ing ˈiːv.ən.ɪŋ ( [e-iː] [v-v] [e-ə] [n-n] [i-ɪ] [ng-ŋ] ) NULL; majority # ma-jo-ri-ty mə.ˈdʒɒ.rɪ.ti ( [m-m] [a-ə] [j-dʒ] [o-ɒ] [r-r] [i-ɪ] [t-t] [y-i] ) ity; curiosity # cu-ri-o-si-ty ˌkjʊə.rɪ.ˈɒ.sɪ.ti ( [c-k] [u-jʊə] [r-r] [i-ɪ] [o-ɒ] [s-s] [i-ɪ] [t-t] [y-i] ) ity
see ( [s-s] [ee-iː] ); office # of-fice ˈɒf.ɪs ( [o-ɒ] [ff-f] [i-ɪ] [ce-s] ) NULL; among # a-mong ə.ˈmʌŋ ( [a-ə] [m-m] [o-ʌ] [ng-ŋ] ) NULL; occur # oc-cur əˈk.ɜː ( [o-ə] [cc-k] [ur-ɜː] ) NULL; music # mu-sic ˈmjuː.zɪk ( [m-m] [u-juː] [s-z] [i-ɪ] [c-k] ) NULL; royal # roy-al ˈrɔɪ.əl ( [r-r] [oy-ɔɪ] [a-ə] [l-l] ) al; writing # writ-ing ˈraɪt.ɪŋ ( [wr-r] [i-aɪ] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; hire # hi-re ˈhaɪ.ə ( [h-h] [i-aɪ] [re-ə] ) NULL; continue # con-ti-nue kən.ˈtɪ.njuː ( [c-k] [o-ə] [n-n] [t-t] [i-ɪ] [n-n] [ue-juː] ) NULL; original # o-rig-in-al ə.ˈrɪdʒ.ən.əl ( [o-ə] [r-r] [i-ɪ] [g-dʒ] [i-ə] [n-n] [a-ə] [l-l] ) al; originally # o-rig-in-al-ly ə.ˈrɪdʒ.ən.əl.i ( [o-ə] [r-r] [i-ɪ] [g-dʒ] [i-ə] [n-n] [a-ə] [ll-l] [y-i] ) NULL
now ( [n-n] [ow-aʊ] ); within # with-in wɪð.ˈiːn ( [w-w] [i-ɪ] [th-ð] [i-iː] [n-n] ) NULL; later # la-ter ˈleɪ.tə ( [l-l] [a-eɪ] [t-t] [er-ə] ) NULL; happy # hap-py ˈhæp.i ( [h-h] [a-æ] [pp-p] [y-i] ) NULL; human # hu-man ˈhjuː.mən ( [h-h] [u-juː] [m-m] [a-ə] [n-n] ) NULL; dying # dy-ing ˈdaɪ.ɪŋ ( [d-d] [y-aɪ] [i-ɪ] [ng-ŋ] ) NULL; meaning # mean-ing ˈmiːn.ɪŋ ( [m-m] [ea-iː] [n-n] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; okay # ok-ay ˌəʊˈk.eɪ ( [o-əʊ] [k-k] [ay-eɪ] ) NULL; together # to-ge-ther tə.ˈge.ðə ( [t-t] [o-ə] [g-g] [e-e] [th-ð] [er-ə] ) NULL; European # eu-ro-pe-an ˌjʊə.rə.ˈpɪ.ən ( [eu-jʊə] [r-r] [o-ə] [p-p] [e-ɪ] [a-ə] [n-n] ) NULL; capability # ca-pa-bi-li-ty ˌkeɪ.pə.ˈbɪ.lɪ.ti ( [c-k] [a-eɪ] [p-p] [a-ə] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility
its ( [i-ɪ] [t-t] [s-s] ); person # pers-on ˈpɜːs.ən ( [p-p] [er-ɜː] [s-s] [o-ə] [n-n] ) NULL; maybe # may-be ˈmeɪ.biː ( [m-m] [ay-eɪ] [b-b] [e-iː] ) NULL; argue # ar-gue ˈɑː.gjuː ( [ar-ɑː] [g-g] [ue-juː] ) NULL; local # lo-cal ˈləʊ.kəl ( [l-l] [o-əʊ] [c-k] [a-ə] [l-l] ) al; weekly # we-ekly ˈwiː.kli ( [w-w] [ee-iː] [k-k] [l-l] [y-i] ) ly; reading # read-ing ˈriːd.ɪŋ ( [r-r] [ea-iː] [d-d] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; jury # ju-ry ˈdʒʊə.ri ( [j-dʒ] [u-ʊə] [r-r] [y-i] ) NULL; remember # re-mem-ber rɪ.ˈmem.bə ( [r-r] [e-ɪ] [m-m] [e-e] [m-m] [b-b] [er-ə] ) NULL; identity # i-den-ti-ty aɪ.ˈden.tɪ.ti ( [i-aɪ] [d-d] [e-e] [n-n] [t-t] [i-ɪ] [t-t] [y-i] ) ity; laboratory # la-bor-a-to-ry lə.ˈbɒr.ə.tə.ri ( [l-l] [a-ə] [b-b] [o-ɒ] [r-r] [a-ə] [t-t] [o-ə] [r-r] [y-i] ) tory
how ( [h-h] [ow-aʊ] ); second # sec-ond ˈsek.ənd ( [s-s] [e-e] [c-k] [o-ə] [n-n] [d-d] ) NULL; music # mu-sic ˈmjuː.zɪk ( [m-m] [u-juː] [s-z] [i-ɪ] [c-k] ) NULL; enjoy # en-joy ɪn.ˈdʒoɪ ( [e-ɪ] [n-n] [j-dʒ] [oy-oɪ] ) NULL; major # ma-jor ˈmeɪ.dʒə ( [m-m] [a-eɪ] [j-dʒ] [or-ə] ) or; makeup # make-up ˈmeɪk.ʌp ( [m-m] [a.e-eɪ] [k-k] [u-ʌ] [p-p] ) NULL; hearing # hear-ing ˈhɪər.ɪŋ ( [h-h] [ear-ɪər] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; army # ar-my ˈɑː.mi ( [ar-ɑː] [m-m] [y-i] ) NULL; consider # con-si-der kən.ˈsɪ.də ( [c-k] [o-ə] [n-n] [s-s] [i-ɪ] [d-d] [er-ə] ) NULL; facility # fa-ci-li-ty fə.ˈsɪ.lɪ.ti ( [f-f] [a-ə] [c-s] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility; inevitable # in-e-vi-tab-le ɪn.ˈe.vɪ.təb.əl ( [i-ɪ] [n-n] [e-e] [v-v] [i-ɪ] [t-t] [a-ə] [b-b] [le-əl] ) able
our ( [ou-aʊə] [r-] ); appear # ap-pear ə.ˈpɪə ( [a-ə] [pp-p] [ear-ɪə] ) NULL; human # hu-man ˈhjuː.mən ( [h-h] [u-juː] [m-m] [a-ə] [n-n] ) NULL; worry # wor-ry ˈwʌ.ri ( [w-w] [o-ʌ] [rr-r] [y-i] ) NULL; along # a-long ə.ˈlɒŋ ( [a-ə] [l-l] [o-ɒ] [ng-ŋ] ) NULL; bloody # blo-ody ˈblʌ.di ( [b-b] [l-l] [oo-ʌ] [d-d] [y-i] ) NULL; threaten # threat-en ˈθret.ən ( [th-θ] [r-r] [ea-e] [t-t] [e-ə] [n-n] ) NULL;  ;  ; ring # r-ing rɪŋ ( [r-r] [i-ɪ] [ng-ŋ] ) NULL; probably # pro-ba-bly ˈprɒ.bə.bli ( [p-p] [r-r] [o-ɒ] [b-b] [a-ə] [b-b] [l-l] [y-i] ) NULL; academic # ac-a-de-mic ˌæk.ə.ˈde.mɪk ( [a-æ] [c-k] [a-ə] [d-d] [e-e] [m-m] [i-ɪ] [c-k] ) NULL; regulatory # re-gu-la-to-ry ˈre.gjə.lə.tə.ri ( [r-r] [e-e] [g-g] [u-jə] [l-l] [a-ə] [t-t] [o-ə] [r-r] [y-i] ) tory
two ( [t-t] [wo-uː] ); expect # ex-pect ɪk.ˈspekt ( [e-ɪ] [x-ks] [p-p] [e-e] [c-k] [t-t] ) NULL; local # lo-cal ˈləʊ.kəl ( [l-l] [o-əʊ] [c-k] [a-ə] [l-l] ) al; owner # ow-ner ˈəʊ.nə ( [ow-əʊ] [n-n] [er-ə] ) NULL; value # va-lue ˈvæ.ljuː ( [v-v] [a-æ] [l-l] [ue-juː] ) NULL; freely # fre-ely ˈfriː.li ( [f-f] [r-r] [ee-iː] [l-l] [y-i] ) ly; greatest # great-est ˈgreɪt.ɪst ( [g-g] [r-r] [ea-eɪ] [t-t] [e-ɪ] [s-s] [t-t] ) NULL;  ;  ; user # us-er ˈjuːz.ə ( [u-juː] [s-z] [er-ə] ) NULL; possible # pos-sib-le ˈpɒ.sɪb.əl ( [p-p] [o-ɒ] [ss-s] [i-ɪ] [b-b] [le-əl] ) NULL; category # ca-te-go-ry ˈkæ.tɪ.gə.ri ( [c-k] [a-æ] [t-t] [e-ɪ] [g-g] [o-ə] [r-r] [y-i] ) NULL; popularity # po-pu-la-ri-ty ˌpɒ.pjʊ.ˈlæ.rɪ.ti ( [p-p] [o-ɒ] [p-p] [u-jʊ] [l-l] [a-æ] [r-r] [i-ɪ] [t-t] [y-i] ) ity
way ( [w-w] [ay-eɪ] ); effect # ef-fect ɪ.ˈfekt ( [e-ɪ] [ff-f] [e-e] [c-k] [t-t] ) NULL; major # ma-jor ˈmeɪ.dʒə ( [m-m] [a-eɪ] [j-dʒ] [or-ə] ) or; admit # ad-mit əd.ˈmɪt ( [a-ə] [d-d] [m-m] [i-ɪ] [t-t] ) NULL; before # be-fore bɪ.ˈfɔː ( [b-b] [e-ɪ] [f-f] [ore-ɔː] ) NULL; playoff # play-off ˈpleɪ.ˌɒf ( [p-p] [l-l] [ay-eɪ] [o-ɒ] [ff-f] ) NULL; saving # sav-ing ˈseɪv.ɪŋ ( [s-s] [a-eɪ] [v-v] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; duty # du-ty ˈdjuː.ti ( [d-d] [u-juː] [t-t] [y-i] ) ty; decision # de-ci-sion dɪ.ˈsɪʒ.ən ( [d-d] [e-ɪ] [c-s] [i-ɪ] [si-ʒ] [o-ə] [n-n] ) NULL; minority # mi-no-ri-ty maɪ.ˈnɒ.rɪ.ti ( [m-m] [i-aɪ] [n-n] [o-ɒ] [r-r] [i-ɪ] [t-t] [y-i] ) ity; creativity # cre-a-tiv-it-y ˌkriː.eɪ.ˈtɪv.ət.i ( [c-k] [r-r] [e-iː] [a-eɪ] [t-t] [i-ɪ] [v-v] [i-ə] [t-t] [y-i] ) ity
new ( [n-n] [ew-juː] ); former # for-mer ˈfɔː.mə ( [f-f] [or-ɔː] [m-m] [er-ə] ) NULL; along # a-long ə.ˈlɒŋ ( [a-ə] [l-l] [o-ɒ] [ng-ŋ] ) NULL; sorry # sor-ry ˈsɒ.ri ( [s-s] [o-ɒ] [rr-r] [y-i] ) NULL; around # a-round ə.ˈraʊnd ( [a-ə] [r-r] [ou-aʊ] [n-n] [d-d] ) NULL; teenage # te-enage ˈtiː.neɪdʒ ( [t-t] [ee-iː] [n-n] [a-eɪ] [ge-dʒ] ) NULL; wooden # wood-en ˈwʊd.ən ( [w-w] [oo-ʊ] [d-d] [e-ə] [n-n] ) NULL;  ;  ; rely # re-ly rɪ.ˈlaɪ ( [r-r] [e-ɪ] [l-l] [y-aɪ] ) NULL; director # di-rec-tor dɪ.ˈrek.tə ( [d-d] [i-ɪ] [r-r] [e-e] [c-k] [t-t] [or-ə] ) or; capacity # ca-pa-ci-ty kə.ˈpæ.sɪ.ti ( [c-k] [a-ə] [p-p] [a-æ] [c-s] [i-ɪ] [t-t] [y-i] ) ity; ecological # ec-o-lo-gic-al ˌiːk.ə.ˈlɒ.dʒɪk.əl ( [e-iː] [c-k] [o-ə] [l-l] [o-ɒ] [g-dʒ] [i-ɪ] [c-k] [a-ə] [l-l] ) al
day ( [d-d] [ay-eɪ] ); effort # ef-fort ˈe.fət ( [e-e] [ff-f] [or-ə] [t-t] ) NULL; value # va-lue ˈvæ.ljuː ( [v-v] [a-æ] [l-l] [ue-juː] ) NULL; title # tit-le ˈtaɪt.əl ( [t-t] [i-aɪ] [t-t] [le-əl] ) NULL; social # so-cial ˈsəʊʃ.əl ( [s-s] [o-əʊ] [ci-ʃ] [a-ə] [l-l] ) cial; triumph # tri-umph ˈtraɪ.əmf ( [t-t] [r-r] [i-aɪ] [u-ə] [m-m] [ph-f] ) NULL; viewer # view-er ˈvjuː.ə ( [v-v] [iew-juː] [er-ə] ) NULL;  ;  ; wing # w-ing wɪŋ ( [w-w] [i-ɪ] [ng-ŋ] ) NULL; official # of-fi-cial ə.ˈfɪʃ.əl ( [o-ə] [ff-f] [i-ɪ] [ci-ʃ] [a-ə] [l-l] ) cial; generally # gen-er-al-ly ˈdʒen.ər.əl.li ( [g-dʒ] [e-e] [n-n] [e-ə] [r-r] [a-ə] [l-l] [l-l] [y-i] ) NULL; similarity # si-mi-la-ri-ty ˌsɪ.mə.ˈlæ.rɪ.ti ( [s-s] [i-ɪ] [m-m] [i-ə] [l-l] [a-æ] [r-r] [i-ɪ] [t-t] [y-i] ) ity
use ( [u-juː] [se-s] ); better # bet-ter ˈbe.tə ( [b-b] [e-e] [tt-t] [er-ə] ) NULL; system # sy-stem ˈsɪ.stəm ( [s-s] [y-ɪ] [s-s] [t-t] [e-ə] [m-m] ) NULL; marry # mar-ry ˈmæ.ri ( [m-m] [a-æ] [rr-r] [y-i] ) NULL; minute # mi-nute maɪ.ˈnjuːt ( [m-m] [i-aɪ] [n-n] [u.e-juː] [t-t] ) NULL; flying # fly-ing ˈflaɪ.ɪŋ ( [f-f] [l-l] [y-aɪ] [i-ɪ] [ng-ŋ] ) NULL; honest # hon-est ˈɒn.ɪst ( [h-] [o-ɒ] [n-n] [e-ɪ] [s-s] [t-t] ) NULL;  ;  ; busy # bu-sy ˈbɪ.zi ( [b-b] [u-ɪ] [s-z] [y-i] ) NULL; position # po-si-tion pə.ˈzɪʃ.ən ( [p-p] [o-ə] [s-z] [i-ɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; democracy # de-mo-cra-cy dɪ.ˈmɒ.krə.si ( [d-d] [e-ɪ] [m-m] [o-ɒ] [c-k] [r-r] [a-ə] [c-s] [y-i] ) NULL; inevitably # in-e-vi-ta-bly ɪn.ˈe.vɪ.tə.bli ( [i-ɪ] [n-n] [e-e] [v-v] [i-ɪ] [t-t] [a-ə] [b-b] [l-l] [y-i] ) NULL
man ( [m-m] [a-æ] [n-n] ); season # seas-on ˈsiːz.ən ( [s-s] [ea-iː] [s-z] [o-ə] [n-n] ) NULL; before # be-fore bɪ.ˈfɔː ( [b-b] [e-ɪ] [f-f] [ore-ɔː] ) NULL; actor # ac-tor ˈæk.tər ( [a-æ] [c-k] [t-t] [o-ə] [r-r] ) or; parent # pa-rent ˈpeə.rənt ( [p-p] [a-eə] [r-r] [e-ə] [n-n] [t-t] ) NULL;  ; heaven # heav-en ˈhev.ən ( [h-h] [ea-e] [v-v] [e-ə] [n-n] ) NULL;  ;  ; begin # be-gin bɪ.ˈgɪn ( [b-b] [e-ɪ] [g-g] [i-ɪ] [n-n] ) NULL; everyone # eve-ry-one ˈev.rɪ.wʌn ( [e-e] [v-v] [e-] [r-r] [y-ɪ] [one-wʌn] ) NULL; emotional # e-mo-tion-al ɪ.ˈməʊʃ.ən.əl ( [e-ɪ] [m-m] [o-əʊ] [ti-ʃ] [o-ə] [n-n] [a-ə] [l-l] ) al; imagination # i-ma-gi-na-tion ɪ.ˌmæ.dʒɪ.ˈneɪʃ.ən ( [i-ɪ] [m-m] [a-æ] [g-dʒ] [i-ɪ] [n-n] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
may ( [m-m] [ay-eɪ] ); million # mil-lion ˈmɪ.lɪən ( [m-m] [i-ɪ] [ll-l] [i-ɪ] [o-ə] [n-n] ) NULL; around # a-round ə.ˈraʊnd ( [a-ə] [r-r] [ou-aʊ] [n-n] [d-d] ) NULL; fully # ful-ly ˈfʊ.li ( [f-f] [u-ʊ] [ll-l] [y-i] ) NULL; result # re-sult rɪ.ˈzʌlt ( [r-r] [e-ɪ] [s-z] [u-ʌ] [l-l] [t-t] ) NULL;  ; cousin # cous-in ˈkʌz.ən ( [c-k] [ou-ʌ] [s-z] [i-ə] [n-n] ) NULL;  ;  ; every # eve-ry ˈev.ri ( [e-e] [v-v] [e-] [r-r] [y-i] ) NULL; industry # in-du-stry ˈɪn.də.stri ( [i-ɪ] [n-n] [d-d] [u-ə] [s-s] [t-t] [r-r] [y-i] ) NULL; emergency # e-mer-gen-cy ɪ.ˈmɜː.dʒən.si ( [e-ɪ] [m-m] [er-ɜː] [g-dʒ] [e-ə] [n-n] [c-s] [y-i] ) NULL; examination # ex-a-mi-na-tion ɪg.ˌzæ.mɪ.ˈneɪʃ.ən ( [e-ɪ] [x-gz] [a-æ] [m-m] [i-ɪ] [n-n] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
try ( [t-t] [r-r] [y-aɪ] ); without # with-out wɪð.ˈaʊt ( [w-w] [i-ɪ] [th-ð] [ou-aʊ] [t-t] ) NULL; social # so-cial ˈsəʊʃ.əl ( [s-s] [o-əʊ] [ci-ʃ] [a-ə] [l-l] ) cial; urban # ur-ban ˈɜː.bən ( [u-ɜː] [r-] [b-b] [a-ə] [n-n] ) NULL; moment # mo-ment ˈməʊ.mənt ( [m-m] [o-əʊ] [m-m] [e-ə] [n-n] [t-t] ) NULL;  ; housing # hous-ing ˈhaʊz.ɪŋ ( [h-h] [ou-aʊ] [s-z] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; again # a-gain ə.ˈgen ( [a-ə] [g-g] [ai-e] [n-n] ) NULL; personal # per-son-al ˈpɜː.sən.əl ( [p-p] [er-ɜː] [s-s] [o-ə] [n-n] [a-ə] [l-l] ) al; eliminate # e-li-mi-nate ɪ.ˈlɪ.mɪ.neɪt ( [e-ɪ] [l-l] [i-ɪ] [m-m] [i-ɪ] [n-n] [a.e-eɪ] [t-t] ) NULL; anniversary # an-ni-ver-sa-ry ˌæ.nɪ.ˈvɜː.sə.ri ( [a-æ] [nn-n] [i-ɪ] [v-v] [er-ɜː] [s-s] [a-ə] [r-r] [y-i] ) NULL
ask ( [a-ɑː] [s-s] [k-k] ); service # ser-vice ˈsɜː.vɪs ( [s-s] [er-ɜː] [v-v] [i-ɪ] [ce-s] ) NULL; minute # mi-nute maɪ.ˈnjuːt ( [m-m] [i-aɪ] [n-n] [u.e-juː] [t-t] ) NULL; funny # fun-ny ˈfʌ.ni ( [f-f] [u-ʌ] [nn-n] [y-i] ) NULL; reason # rea-son ˈriː.zən ( [r-r] [ea-iː] [s-z] [o-ə] [n-n] ) NULL;  ; leading # lead-ing ˈliːd.ɪŋ ( [l-l] [ea-iː] [d-d] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; today # to-day tə.ˈdeɪ ( [t-t] [o-ə] [d-d] [ay-eɪ] ) NULL; computer # com-pu-ter kəm.ˈpjuː.tə ( [c-k] [o-ə] [m-m] [p-p] [u-juː] [t-t] [er-ə] ) NULL; vegetable # ve-ge-tab-le ˈve.dʒɪ.təb.əl ( [v-v] [e-e] [g-dʒ] [e-ɪ] [t-t] [a-ə] [b-b] [le-əl] ) NULL; theoretical # the-o-ret-i-cal ˌθi.ə.ˈret.ɪ.kəl ( [th-θ] [e-i] [o-ə] [r-r] [e-e] [t-t] [i-ɪ] [c-k] [a-ə] [l-l] ) al
too ( [t-t] [oo-uː] ); include # in-clude ɪn.ˈkluːd ( [i-ɪ] [n-n] [c-k] [l-l] [u.e-uː] [d-d] ) NULL; public # pu-blic ˈpʌ.blɪk ( [p-p] [u-ʌ] [b-b] [l-l] [i-ɪ] [c-k] ) NULL; cable # cab-le ˈkeɪb.əl ( [c-k] [a-eɪ] [b-b] [le-əl] ) NULL; toward # to-ward tə.ˈwɔːd ( [t-t] [o-ə] [w-w] [ar-ɔː] [d-d] ) NULL;  ; speaker # speak-er ˈspiːk.ə ( [s-s] [p-p] [ea-iː] [k-k] [er-ə] ) NULL;  ;  ; study # stu-dy ˈstʌ.di ( [s-s] [t-t] [u-ʌ] [d-d] [y-i] ) NULL; evidence # e-vi-dence ˈe.vɪ.dəns ( [e-e] [v-v] [i-ɪ] [d-d] [e-ə] [n-n] [ce-s] ) NULL; generation # gen-e-ra-tion ˌdʒen.ə.ˈreɪʃ.ən ( [g-dʒ] [e-e] [n-n] [e-ə] [r-r] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; reliability # re-lia-bi-li-ty rɪ.ˌlaɪ.ə.ˈbɪ.lɪ.ti ( [r-r] [e-ɪ] [l-l] [i-aɪ] [a-ə] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility
own ( [ow-əʊ] [n-n] ); morning # morn-ing ˈmɔːn.ɪŋ ( [m-m] [or-ɔː] [n-n] [i-ɪ] [ng-ŋ] ) NULL; parent # pa-rent ˈpeə.rənt ( [p-p] [a-eə] [r-r] [e-ə] [n-n] [t-t] ) NULL; upper # up-per ˈʌ.pə ( [u-ʌ] [pp-p] [er-ə] ) NULL; enough # e-nough ɪ.ˈnʌf ( [e-ɪ] [n-n] [ou-ʌ] [gh-f] ) NULL;  ; ceiling # ceil-ing ˈsiːl.ɪŋ ( [c-s] [ei-iː] [l-l] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; water # wa-ter ˈwɔː.tə ( [w-w] [a-ɔː] [t-t] [er-ə] ) NULL; hospital # ho-spit-al ˈhɒ.spɪt.əl ( [h-h] [o-ɒ] [s-s] [p-p] [i-ɪ] [t-t] [a-ə] [l-l] ) al; absolutely # ab-so-lute-ly ˈæb.sə.luːt.li ( [a-æ] [b-b] [s-s] [o-ə] [l-l] [u.e-uː] [t-t] [l-l] [y-i] ) NULL; ideological # i-deo-lo-gic-al ˌaɪ.dɪə.ˈlɒ.dʒɪk.əl ( [i-aɪ] [d-d] [e-ɪ] [o-ə] [l-l] [o-ɒ] [g-dʒ] [i-ɪ] [c-k] [a-ə] [l-l] ) al
