3_0; 3_1; 3_2; 3_3; 3_4; 3_5; 3_6; 3_7; 3_8; 3_9; 3_10; 3_11; 3_12
well ( [w-w] [e-e] [ll-l] ); empty # emp-ty ˈemp.ti ( [e-e] [m-m] [p-p] [t-t] [y-i] ) NULL; wire # wi-re ˈwaɪ.ə ( [w-w] [i-aɪ] [re-ə] ) NULL; impact # im-pact ɪm.ˈpækt ( [i-ɪ] [m-m] [p-p] [a-æ] [c-k] [t-t] ) NULL; adult # a-dult ˈæ.dʌlt ( [a-æ] [d-d] [u-ʌ] [l-l] [t-t] ) NULL;  ; naval # nav-al ˈneɪv.əl ( [n-n] [a-eɪ] [v-v] [a-ə] [l-l] ) al;  ;  ; around # a-round ə.ˈraʊnd ( [a-ə] [r-r] [ou-aʊ] [n-n] [d-d] ) NULL; candidate # can-di-date ˈkæn.dɪ.dət ( [c-k] [a-æ] [n-n] [d-d] [i-ɪ] [d-d] [a-ə] [t-t] [e-] ) NULL; contemporary # con-tem-pora-ry kən.ˈtem.prə.ri ( [c-k] [o-ə] [n-n] [t-t] [e-e] [m-m] [p-p] [o-] [r-r] [a-ə] [r-r] [y-i] ) NULL; unprecedented # un-pre-ce-den-ted ʌn.ˈpre.sɪ.den.tɪd ( [u-ʌ] [n-n] [p-p] [r-r] [e-e] [c-s] [e-ɪ] [d-d] [e-e] [n-n] [t-t] [e-ɪ] [d-d] ) NULL
find ( [f-f] [i-aɪ] [n-n] [d-d] ); metal # met-al ˈmet.əl ( [m-m] [e-e] [t-t] [a-ə] [l-l] ) al; holy # ho-ly ˈhəʊ.li ( [h-h] [o-əʊ] [l-l] [y-i] ) NULL; affect # af-fect ə.ˈfekt ( [a-ə] [ff-f] [e-e] [c-k] [t-t] ) NULL; ahead # a-head ə.ˈhed ( [a-ə] [h-h] [ea-e] [d-d] ) NULL;  ; fatal # fat-al ˈfeɪt.əl ( [f-f] [a-eɪ] [t-t] [a-ə] [l-l] ) al;  ;  ; member # mem-ber ˈmem.bə ( [m-m] [e-e] [m-m] [b-b] [er-ə] ) NULL; interview # in-ter-view ˈɪn.tə.vjuː ( [i-ɪ] [n-n] [t-t] [er-ə] [v-v] [iew-juː] ) NULL; specifically # spe-ci-fic-ally spə.ˈsɪ.fɪk.əli ( [s-s] [p-p] [e-ə] [c-s] [i-ɪ] [f-f] [i-ɪ] [c-k] [a-ə] [ll-l] [y-i] ) ly; philosophical # phi-lo-so-phic-al ˌfɪ.lə.ˈsɒ.fɪk.əl ( [ph-f] [i-ɪ] [l-l] [o-ə] [s-s] [o-ɒ] [ph-f] [i-ɪ] [c-k] [a-ə] [l-l] ) al
tell ( [t-t] [e-e] [ll-l] ); panel # pan-el ˈpæn.əl ( [p-p] [a-æ] [n-n] [el-əl] ) NULL; bury # bu-ry ˈbe.ri ( [b-b] [u-e] [r-r] [y-i] ) NULL; inside # in-side ɪn.ˈsaɪd ( [i-ɪ] [n-n] [s-s] [i.e-aɪ] [d-d] ) NULL; hotel # ho-tel ˌhəʊ.ˈtel ( [h-h] [o-əʊ] [t-t] [e-e] [l-l] ) NULL;  ; boring # bor-ing ˈbɔːr.ɪŋ ( [b-b] [o-ɔː] [r-r] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; social # so-cial ˈsəʊʃ.əl ( [s-s] [o-əʊ] [ci-ʃ] [a-ə] [l-l] ) cial; direction # di-rec-tion dɪ.ˈrek.ʃən ( [d-d] [i-ɪ] [r-r] [e-e] [c-k] [ti-ʃ] [o-ə] [n-n] ) NULL; understanding # un-der-stand-ing ˌʌn.də.ˈstænd.ɪŋ ( [u-ʌ] [n-n] [d-d] [er-ə] [s-s] [t-t] [a-æ] [n-n] [d-d] [i-ɪ] [ng-ŋ] ) NULL; discrimination # di-scri-mi-na-tion dɪ.ˌskrɪ.mɪ.ˈneɪʃ.ən ( [d-d] [i-ɪ] [s-s] [c-k] [r-r] [i-ɪ] [m-m] [i-ɪ] [n-n] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
give ( [g-g] [i.e-ɪ] [v-v] ); novel # nov-el ˈnɒv.əl ( [n-n] [o-ɒ] [v-v] [el-əl] ) NULL; poem # po-em ˈpəʊ.ɪm ( [p-p] [o-əʊ] [e-ɪ] [m-m] ) NULL; finger # fin-ger ˈfɪŋ.gə ( [f-f] [i-ɪ] [n-ŋ] [g-g] [er-ə] ) NULL; heavy # hea-vy ˈhe.vi ( [h-h] [ea-e] [v-v] [y-i] ) NULL;  ;  ;  ;  ; almost # al-most ˈɔːl.məʊst ( [a-ɔː] [l-l] [m-m] [o-əʊ] [s-s] [t-t] ) NULL; beautiful # beau-ti-ful ˈbjuː.tə.fəl ( [b-b] [eau-juː] [t-t] [i-ə] [f-f] [u-] [l-əl] ) ful; utility # u-ti-li-ty juː.ˈtɪ.lɪ.ti ( [u-juː] [t-t] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility; identification # i-den-ti-fic-a-tion aɪ.ˌden.tɪ.fɪˈk.eɪʃ.ən ( [i-aɪ] [d-d] [e-e] [n-n] [t-t] [i-ɪ] [f-f] [i-ɪ] [c-k] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
back ( [b-b] [a-æ] [ck-k] ); angry # an-gry ˈæŋ.gri ( [a-æ] [n-ŋ] [g-g] [r-r] [y-i] ) NULL; agree # a-gree ə.ˈgriː ( [a-ə] [g-g] [r-r] [ee-iː] ) NULL; cancer # can-cer ˈkæn.sə ( [c-k] [a-æ] [n-n] [c-s] [er-ə] ) NULL; agent # a-gent ˈeɪ.dʒənt ( [a-eɪ] [g-dʒ] [e-ə] [n-n] [t-t] ) NULL;  ;  ;  ;  ; minute # mi-nute maɪ.ˈnjuːt ( [m-m] [i-aɪ] [n-n] [u.e-juː] [t-t] ) NULL; government # go-vern-ment ˈgʌ.vən.mənt ( [g-g] [o-ʌ] [v-v] [er-ə] [n-n] [m-m] [e-ə] [n-n] [t-t] ) ment; priority # pri-o-ri-ty praɪ.ˈɒ.rɪ.ti ( [p-p] [r-r] [i-aɪ] [o-ɒ] [r-r] [i-ɪ] [t-t] [y-i] ) ity; implementation # im-ple-men-ta-tion ˌɪm.plɪ.men.ˈteɪʃ.ən ( [i-ɪ] [m-m] [p-p] [l-l] [e-ɪ] [m-m] [e-e] [n-n] [t-t] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
good ( [g-g] [oo-ʊ] [d-d] ); funny # fun-ny ˈfʌ.ni ( [f-f] [u-ʌ] [nn-n] [y-i] ) NULL; event # e-vent ɪ.ˈvent ( [e-ɪ] [v-v] [e-e] [n-n] [t-t] ) NULL; support # sup-port sə.ˈpɔːt ( [s-s] [u-ə] [pp-p] [or-ɔː] [t-t] ) NULL; civil # ci-vil ˈsɪ.vəl ( [c-s] [i-ɪ] [v-v] [i-ə] [l-l] ) NULL;  ;  ;  ;  ; public # pu-blic ˈpʌ.blɪk ( [p-p] [u-ʌ] [b-b] [l-l] [i-ɪ] [c-k] ) NULL; understand # un-der-stand ˌʌn.də.ˈstænd ( [u-ʌ] [n-n] [d-d] [er-ə] [s-s] [t-t] [a-æ] [n-n] [d-d] ) NULL; educator # e-duc-a-tor ˈe.dʒʊk.eɪ.tə ( [e-e] [d-dʒ] [u-ʊ] [c-k] [a-eɪ] [t-t] [or-ə] ) or; administrative # ad-mi-ni-stra-tive əd.ˈmɪ.nɪ.strə.tɪv ( [a-ə] [d-d] [m-m] [i-ɪ] [n-n] [i-ɪ] [s-s] [t-t] [r-r] [a-ə] [t-t] [i.e-ɪ] [v-v] ) NULL
life ( [l-l] [i.e-aɪ] [f-f] ); cable # cab-le ˈkeɪb.əl ( [c-k] [a-eɪ] [b-b] [le-əl] ) NULL; paper # pa-per ˈpeɪ.pə ( [p-p] [a-eɪ] [p-p] [er-ə] ) NULL; picture # pic-ture ˈpɪk.tʃər ( [p-p] [i-ɪ] [c-k] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; video # vi-deo ˈvɪ.dɪəʊ ( [v-v] [i-ɪ] [d-d] [e-ɪ] [o-əʊ] ) NULL;  ;  ;  ;  ; parent # pa-rent ˈpeə.rənt ( [p-p] [a-eə] [r-r] [e-ə] [n-n] [t-t] ) NULL; everything # eve-ry-thing ˈev.rɪ.θɪŋ ( [e-e] [v-v] [e-] [r-r] [y-ɪ] [th-θ] [i-ɪ] [ng-ŋ] ) NULL; recovery # re-cov-er-y rɪ.ˈkʌv.ər.i ( [r-r] [e-ɪ] [c-k] [o-ʌ] [v-v] [e-ə] [r-r] [y-i] ) NULL; organizational # or-ga-ni-za-tional ˌɔː.gə.naɪ.ˈzeɪ.ʃnəl ( [or-ɔː] [g-g] [a-ə] [n-n] [i-aɪ] [z-z] [a-eɪ] [ti-ʃ] [o-] [n-n] [a-ə] [l-l] ) al
down ( [d-d] [ow-aʊ] [n-n] ); upper # up-per ˈʌ.pə ( [u-ʌ] [pp-p] [er-ə] ) NULL; image # i-mage ˈɪ.mɪdʒ ( [i-ɪ] [m-m] [a-ɪ] [ge-dʒ] ) NULL; culture # cul-ture ˈkʌl.tʃər ( [c-k] [u-ʌ] [l-l] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; alone # a-lone ə.ˈləʊn ( [a-ə] [l-l] [o.e-əʊ] [n-n] ) NULL;  ;  ;  ;  ; follow # fol-low ˈfɒ.ləʊ ( [f-f] [o-ɒ] [ll-l] [o-əʊ] [w-] ) NULL; management # ma-nage-ment ˈmæ.nɪdʒ.mənt ( [m-m] [a-æ] [n-n] [a-ɪ] [ge-dʒ] [m-m] [e-ə] [n-n] [t-t] ) ment; Canadian # ca-na-di-an kə.ˈneɪ.dɪ.ən ( [c-k] [a-ə] [n-n] [a-eɪ] [d-d] [i-ɪ] [a-ə] [n-n] ) NULL; rehabilitation # reha-bi-li-ta-tion ˌriːə.ˌbɪ.lɪ.ˈteɪʃ.ən ( [r-r] [e-iː] [h-] [a-ə] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
work ( [w-w] [or-ɜː] [k-k] ); lower # low-er ˈləʊ.ə ( [l-l] [ow-əʊ] [er-ə] ) NULL; cover # co-ver ˈkʌ.və ( [c-k] [o-ʌ] [v-v] [er-ə] ) NULL; billion # bil-lion ˈbɪ.lɪəŋ ( [b-b] [i-ɪ] [ll-l] [i-ɪ] [o-ə] [n-ŋ] ) NULL; basic # ba-sic ˈbeɪ.sɪk ( [b-b] [a-eɪ] [s-s] [i-ɪ] [c-k] ) NULL;  ;  ;  ;  ; create # cre-ate kriː.ˈeɪt ( [c-k] [r-r] [e-iː] [a.e-eɪ] [t-t] ) NULL; production # pro-duc-tion prə.ˈdʌk.ʃən ( [p-p] [r-r] [o-ə] [d-d] [u-ʌ] [c-k] [ti-ʃ] [o-ə] [n-n] ) NULL; literary # li-te-ra-ry ˈlɪ.tə.rə.ri ( [l-l] [i-ɪ] [t-t] [e-ə] [r-r] [a-ə] [r-r] [y-i] ) NULL; accountability # ac-coun-ta-bi-li-ty əˌk.aʊn.tə.ˈbɪ.lə.ti ( [a-ə] [cc-k] [ou-aʊ] [n-n] [t-t] [a-ə] [b-b] [i-ɪ] [l-l] [i-ə] [t-t] [y-i] ) ility
call ( [c-k] [a-ɔː] [ll-l] ); asset # as-set ˈæ.set ( [a-æ] [ss-s] [e-e] [t-t] ) NULL; movie # mo-vie ˈmuː.vi ( [m-m] [o-uː] [v-v] [ie-i] ) NULL; subject # sub-ject sʌb.ˈdʒekt ( [s-s] [u-ʌ] [b-b] [j-dʒ] [e-e] [c-k] [t-t] ) NULL; refer # re-fer rɪ.ˈfɜː ( [r-r] [e-ɪ] [f-f] [er-ɜː] ) NULL;  ;  ;  ;  ; result # re-sult rɪ.ˈzʌlt ( [r-r] [e-ɪ] [s-z] [u-ʌ] [l-l] [t-t] ) NULL; conference # con-fe-rence ˈkɒn.fə.rəns ( [c-k] [o-ɒ] [n-n] [f-f] [e-ə] [r-r] [e-ə] [n-n] [ce-s] ) NULL; ceremony # ce-re-mo-ny ˈse.rɪ.mə.ni ( [c-s] [e-e] [r-r] [e-ɪ] [m-m] [o-ə] [n-n] [y-i] ) NULL;  
last ( [l-l] [a-ɑː] [s-s] [t-t] ); hello # hel-lo hə.ˈləʊ ( [h-h] [e-ə] [ll-l] [o-əʊ] ) NULL; media # me-dia ˈmiː.dɪə ( [m-m] [e-iː] [d-d] [i-ɪ] [a-ə] ) NULL; current # cur-rent ˈkʌ.rənt ( [c-k] [u-ʌ] [rr-r] [e-ə] [n-n] [t-t] ) NULL; basis # ba-sis ˈbeɪ.sɪs ( [b-b] [a-eɪ] [s-s] [i-ɪ] [s-s] ) NULL;  ;  ;  ;  ; others # oth-ers ˈʌð.əz ( [o-ʌ] [th-ð] [er-ə] [s-z] ) NULL; commercial # com-mer-cial kə.ˈmɜːʃ.əl ( [c-k] [o-ə] [mm-m] [er-ɜː] [ci-ʃ] [a-ə] [l-l] ) al; seriously # ser-i-ous-ly ˈsɪər.ɪ.əs.li ( [s-s] [er-ɪər] [i-ɪ] [ou-ə] [s-s] [l-l] [y-i] ) NULL;  
need ( [n-n] [ee-iː] [d-d] ); lucky # luck-y ˈlʌk.i ( [l-l] [u-ʌ] [ck-k] [y-i] ) NULL; ready # rea-dy ˈre.di ( [r-r] [ea-e] [d-d] [y-i] ) NULL; husband # hus-band ˈhʌz.bənd ( [h-h] [u-ʌ] [s-z] [b-b] [a-ə] [n-n] [d-d] ) NULL; limit # li-mit ˈlɪ.mɪt ( [l-l] [i-ɪ] [m-m] [i-ɪ] [t-t] ) NULL;  ;  ;  ;  ; office # of-fice ˈɒf.ɪs ( [o-ɒ] [ff-f] [i-ɪ] [ce-s] ) NULL; discussion # di-scus-sion dɪ.ˈskʌʃ.ən ( [d-d] [i-ɪ] [s-s] [c-k] [u-ʌ] [ssi-ʃ] [o-ə] [n-n] ) NULL; secretary # se-cre-ta-ry ˈse.krə.tə.ri ( [s-s] [e-e] [c-k] [r-r] [e-ə] [t-t] [a-ə] [r-r] [y-i] ) NULL;  
feel ( [f-f] [ee-iː] [l-l] ); error # er-ror ˈe.rə ( [e-e] [rr-r] [or-ə] ) NULL; trial # tri-al ˈtraɪ.əl ( [t-t] [r-r] [i-aɪ] [a-ə] [l-l] ) al; involve # in-volve ɪn.ˈvɒlv ( [i-ɪ] [n-n] [v-v] [o-ɒ] [l-l] [v-v] [e-] ) NULL; river # ri-ver ˈrɪ.və ( [r-r] [i-ɪ] [v-v] [er-ə] ) NULL;  ;  ;  ;  ; within # with-in wɪð.ˈiːn ( [w-w] [i-ɪ] [th-ð] [i-iː] [n-n] ) NULL; performance # per-for-mance pə.ˈfɔː.məns ( [p-p] [er-ə] [f-f] [or-ɔː] [m-m] [a-ə] [n-n] [ce-s] ) NULL; criticism # cri-ti-ci-sm ˈkrɪ.tɪ.sɪ.zəm ( [c-k] [r-r] [i-ɪ] [t-t] [i-ɪ] [c-s] [i-ɪ] [s-zə] [m-m] ) NULL;  
